sentence,predicted_emotion,confidence
I'm overwhelmed with sorrow about this discovery.,sadness,0.42338061332702637
I'm enraged by this situation!,anger,0.9857019186019897
How dare they this food!,anger,0.973212718963623
I feel such deep love for this moment.,joy,0.9306553602218628
my relationship took me completely by surprise!,surprise,0.9629039168357849
This my relationship is completely unacceptable!,anger,0.8595867156982422
This this song makes me so angry I could scream!,anger,0.987597644329071
My love for this moment knows no bounds.,joy,0.7925871014595032
I'm paralyzed with fear about the news.,fear,0.9865320324897766
Tears won't stop falling because of this place.,sadness,0.7370864152908325
I'm paralyzed with fear about my friends.,fear,0.9872137308120728
I can't sleep because I'm so scared of these changes.,fear,0.989342451095581
this moment has me seeing red!,surprise,0.7283901572227478
I'm boiling with rage because of this moment.,anger,0.991878867149353
this realization is just normal.,neutral,0.5590007305145264
Wow! I can't believe this situation happened!,surprise,0.9747670292854309
I can't handle the fear of this situation.,fear,0.9845418930053711
There's nothing special about the future.,neutral,0.9375726580619812
This my finances is neither good nor bad.,joy,0.3482876121997833
I'm enraged by this failure!,anger,0.9873769283294678
Tears won't stop falling because of this movie.,sadness,0.7738799452781677
My jaw dropped when I saw my job!,surprise,0.5440139174461365
I'm indifferent about the news.,disgust,0.73308265209198
this memory makes my heart flutter!,surprise,0.484088271856308
My soul is filled with love because of this conversation.,joy,0.6412470936775208
this moment is just normal.,neutral,0.8454440832138062
I can't sleep because I'm so scared of this decision.,fear,0.9914596080780029
I'm overwhelmed with sorrow about this challenge.,sadness,0.5117436051368713
I'm thrilled beyond words about the past!,joy,0.9505148530006409
this food is the love of my life!,joy,0.8081070184707642
I'm thrilled beyond words about this event!,joy,0.9525929689407349
I can't stop crying about the past.,sadness,0.8820345401763916
this conversation doesn't affect me much.,neutral,0.8832718133926392
I'm thrilled beyond words about this opportunity!,joy,0.9628468751907349
I adore this moment with all my heart!,joy,0.9819086790084839
What a wonderful this conversation we're experiencing!,joy,0.9264903664588928
What a wonderful this realization we're experiencing!,joy,0.8819013833999634
This is the best day ever because of this memory!,joy,0.7151122093200684
I can't sleep because I'm so scared of this food.,fear,0.9897940158843994
the past left me speechless!,fear,0.7123480439186096
My love for this moment knows no bounds.,joy,0.7925871014595032
My heart aches because of the weather.,sadness,0.9496896862983704
My heart is full of joy because of this food.,joy,0.990281343460083
There's nothing special about the weather.,neutral,0.8507704734802246
This this situation scares me to death!,fear,0.9687447547912598
My heart races whenever I think about this gift.,surprise,0.6506373882293701
this surprise makes my heart flutter!,surprise,0.86639803647995
I can't stop smiling about the past!,joy,0.9679821729660034
This this failure is completely unacceptable!,anger,0.7942463159561157
this achievement makes my heart flutter!,fear,0.6066622734069824
My anxiety about my health is overwhelming.,fear,0.9914354681968689
this challenge is making me feel so lonely.,sadness,0.9833252429962158
There's nothing special about this discovery.,neutral,0.7010298371315002
I never expected the weather to happen!,surprise,0.9368730783462524
I'm completely enamored with my family!,joy,0.8364580869674683
I'm thinking about this food.,joy,0.35943886637687683
this song is the love of my life!,joy,0.802924633026123
I'm paralyzed with fear about this failure.,fear,0.9872310757637024
Tears won't stop falling because of this decision.,sadness,0.7690877318382263
I adore this situation with all my heart!,joy,0.9728345274925232
this decision makes my heart flutter!,fear,0.5131649374961853
I feel absolutely delighted by the news.,joy,0.991209864616394
I can't stop crying about this conversation.,sadness,0.7928701043128967
my friends is the love of my life!,joy,0.7342250347137451
I'm overwhelmed with sorrow about this memory.,sadness,0.7623533606529236
I'm so happy about this memory!,joy,0.9834534525871277
I can't stop crying about this opportunity.,sadness,0.4182003438472748
What an unexpected my family!,surprise,0.8865463733673096
My heart is full of joy because of this discovery.,joy,0.990643322467804
these changes makes me feel ecstatic!,joy,0.9847907423973083
My heart aches because of this book.,sadness,0.9601933360099792
Tears won't stop falling because of this gift.,sadness,0.7155174612998962
I can't sleep because I'm so scared of this situation.,fear,0.990213930606842
I'm thinking about this challenge.,joy,0.7116986513137817
There's nothing special about this place.,neutral,0.6064022779464722
I'm thinking about my friends.,neutral,0.46817559003829956
this song doesn't affect me much.,neutral,0.5537134408950806
I'm thinking about my health.,fear,0.37650707364082336
I'm in the depths of despair because of my finances.,fear,0.8615589141845703
I cherish this discovery more than words can say.,joy,0.8658403754234314
I feel absolutely delighted by this opportunity.,joy,0.9904739260673523
I'm shaking with fear because of this situation.,fear,0.9942650198936462
I observed this decision without much reaction.,disgust,0.7057458162307739
I'm so mad I can't even think straight about this book!,anger,0.8388785719871521
There's nothing special about this situation.,neutral,0.7989336848258972
This my relationship is neither good nor bad.,disgust,0.4199434816837311
What an unexpected this book!,surprise,0.9077352285385132
this situation left me speechless!,surprise,0.5071380138397217
this movie took me completely by surprise!,surprise,0.9431942105293274
this discovery doesn't affect me much.,neutral,0.8208945393562317
I can't sleep because I'm so scared of this gift.,fear,0.9904886484146118
I'm boiling with rage because of this food.,anger,0.9916170239448547
I'm overwhelmed with sorrow about this memory.,sadness,0.7623533606529236
I'm so happy about the weather!,joy,0.98215252161026
the news has me seeing red!,surprise,0.8956969976425171
This this achievement came out of nowhere!,surprise,0.9307271838188171
This my finances brings me so much happiness!,joy,0.9843547344207764
This this event scares me to death!,fear,0.9723114371299744
What a wonderful this movie we're experiencing!,joy,0.9571501016616821
this realization makes my heart flutter!,fear,0.6180379986763
I'm grieving over this conversation.,sadness,0.9810475707054138
I'm boiling with rage because of my friends.,anger,0.9916069507598877
I'm thinking about this achievement.,joy,0.8837321400642395
What a wonderful this decision we're experiencing!,joy,0.9308688044548035
I can't sleep because I'm so scared of my health.,fear,0.9913950562477112
My love for the news knows no bounds.,joy,0.9215872883796692
This this decision came out of nowhere!,surprise,0.8723205924034119
The thought of the weather fills me with dread.,fear,0.9892686009407043
My blood is boiling because of my health!,anger,0.9909046292304993
I'm astonished by my family!,surprise,0.9764991402626038
This these changes is neither good nor bad.,disgust,0.750845193862915
I'm paralyzed with fear about the weather.,fear,0.9771538972854614
my job is making me feel so lonely.,sadness,0.9904075264930725
This is the best day ever because of this place!,joy,0.8003528714179993
I'm grieving over my family.,sadness,0.9821715950965881
I'm thinking about this food.,joy,0.35943886637687683
I noticed the news today.,surprise,0.8069043755531311
I'm so happy about my health!,joy,0.9826199412345886
My soul is filled with love because of this failure.,sadness,0.9787991046905518
My affection for this food grows every day.,joy,0.45305392146110535
My affection for this food grows every day.,joy,0.45305392146110535
Tears won't stop falling because of the past.,sadness,0.7242333889007568
This this decision has me feeling blue.,sadness,0.9371539354324341
This the weather is quite ordinary.,neutral,0.5941120386123657
How dare they my relationship!,anger,0.9876982569694519
My heart is full of joy because of this movie.,joy,0.9905397891998291
This this moment brings me so much happiness!,joy,0.9882473349571228
This this book brings me so much happiness!,joy,0.9877614974975586
I'm thrilled beyond words about this event!,joy,0.9525929689407349
I'm so happy about this book!,joy,0.9801605343818665
I can't stop smiling about this place!,joy,0.9686564207077026
I'm indifferent about this food.,disgust,0.7653436064720154
My anxiety about this realization is overwhelming.,fear,0.9912295341491699
the news has me seeing red!,surprise,0.8956969976425171
There's nothing special about my finances.,neutral,0.8807000517845154
I'm paralyzed with fear about this realization.,fear,0.9899287819862366
I'm so mad I can't even think straight about this conversation!,anger,0.8210724592208862
I'm paralyzed with fear about my job.,fear,0.9900644421577454
I'm in the depths of despair because of my relationship.,fear,0.9188966155052185
This my finances is quite ordinary.,surprise,0.5155593156814575
My soul is filled with love because of my family.,joy,0.630547821521759
I'm paralyzed with fear about my finances.,fear,0.9840326905250549
my job is the love of my life!,joy,0.816017746925354
I'm completely enamored with the future!,joy,0.946699321269989
this memory is making me livid!,anger,0.983906626701355
I'm over the moon about this opportunity!,joy,0.6590602397918701
this discovery left me speechless!,surprise,0.6473272442817688
This this challenge has me feeling blue.,sadness,0.9041491150856018
I feel such deep love for my friends.,joy,0.9681645035743713
the past is my worst nightmare!,disgust,0.5623984336853027
this event has me seeing red!,surprise,0.7974180579185486
my finances is the love of my life!,joy,0.5890286564826965
I'm feeling so down about this conversation...,sadness,0.9669351577758789
I'm in the depths of despair because of this decision.,fear,0.8829506039619446
I never expected this food to happen!,surprise,0.9444056749343872
I'm feeling so down about my relationship...,sadness,0.9812854528427124
Tears won't stop falling because of this failure.,sadness,0.8434858918190002
My love for this conversation knows no bounds.,joy,0.8898982405662537
I'm indifferent about this book.,disgust,0.7385155558586121
I'm feeling so down about this realization...,sadness,0.9705920815467834
This my finances has left me heartbroken.,sadness,0.9885750412940979
This my health is completely unacceptable!,fear,0.3949817717075348
I adore these changes with all my heart!,joy,0.9628828167915344
I adore this memory with all my heart!,joy,0.9783015251159668
My heart aches because of this decision.,sadness,0.9550383687019348
This this challenge has me feeling blue.,sadness,0.9041491150856018
I'm boiling with rage because of my job.,anger,0.9925172328948975
I can't handle the fear of this book.,fear,0.9893364906311035
I'm feeling so down about this memory...,sadness,0.9589424729347229
My love for this movie knows no bounds.,joy,0.9449340105056763
This my job brings me so much happiness!,joy,0.9860538840293884
My soul is filled with love because of my friends.,joy,0.7361284494400024
this surprise happened as expected.,surprise,0.9704307317733765
My heart is full of joy because of the past.,joy,0.979706883430481
this place left me speechless!,surprise,0.5109394192695618
I'm completely enamored with this movie!,joy,0.9510903358459473
This my friends scares me to death!,fear,0.9707401394844055
I feel absolutely delighted by this discovery.,joy,0.9896600246429443
My soul is filled with love because of my family.,joy,0.630547821521759
This this place scares me to death!,fear,0.9406797885894775
My love for this food knows no bounds.,joy,0.9378967881202698
I'm grieving over my health.,sadness,0.980119526386261
I'm thrilled beyond words about this movie!,joy,0.9579065442085266
this moment doesn't affect me much.,neutral,0.8145259618759155
I noticed my health today.,surprise,0.5384129285812378
this discovery is making me livid!,anger,0.9837204217910767
My jaw dropped when I saw this moment!,surprise,0.8990238308906555
I'm feeling so down about this moment...,sadness,0.9754642248153687
This my family has left me heartbroken.,sadness,0.9877607822418213
My love for the past knows no bounds.,sadness,0.8377184867858887
my health took me completely by surprise!,surprise,0.9628723859786987
this memory makes me feel ecstatic!,joy,0.9885125160217285
I'm shaking with fear because of this decision.,fear,0.9941704273223877
The thought of my job fills me with dread.,fear,0.9943040013313293
My heart races whenever I think about this opportunity.,fear,0.6955552101135254
I'm shaking with fear because of this book.,fear,0.9942271709442139
this surprise left me speechless!,surprise,0.9591885209083557
I cherish this failure more than words can say.,sadness,0.3964552581310272
I can't handle the fear of the past.,fear,0.9836089015007019
this place is my worst nightmare!,disgust,0.7940683364868164
This this situation is completely unacceptable!,anger,0.7253511548042297
I noticed my job today.,surprise,0.6944366097450256
this opportunity is the love of my life!,joy,0.8190705180168152
this surprise makes my heart flutter!,surprise,0.86639803647995
Tears won't stop falling because of this memory.,sadness,0.8077362179756165
How dare they my job!,anger,0.9891932606697083
This the news came out of nowhere!,surprise,0.9165553450584412
There's nothing special about this discovery.,neutral,0.7010298371315002
This this realization is neither good nor bad.,disgust,0.650974690914154
What a wonderful the future we're experiencing!,joy,0.9432696104049683
My anxiety about this challenge is overwhelming.,fear,0.9912340044975281
My heart is full of joy because of this event.,joy,0.9918143153190613
What a wonderful my job we're experiencing!,joy,0.9487759470939636
My love for this discovery knows no bounds.,joy,0.9501075744628906
My heart aches because of this event.,sadness,0.94234299659729
This the future is quite ordinary.,neutral,0.6913420557975769
my relationship is just normal.,joy,0.6711463928222656
My affection for this realization grows every day.,joy,0.6894698143005371
I noticed the news today.,surprise,0.8069043755531311
I'm so happy about this realization!,joy,0.9837614893913269
This my job brings me so much happiness!,joy,0.9860538840293884
this place is the love of my life!,surprise,0.42661312222480774
I'm thrilled beyond words about my job!,joy,0.969971239566803
I'm astonished by these changes!,surprise,0.9759308695793152
my family doesn't affect me much.,sadness,0.8322721719741821
I can't sleep because I'm so scared of my relationship.,fear,0.9913109540939331
this surprise left me speechless!,surprise,0.9591885209083557
I can't stop crying about the weather.,sadness,0.9509423971176147
This these changes is quite ordinary.,surprise,0.451370507478714
How dare they this realization!,anger,0.9835489988327026
My heart races whenever I think about this situation.,fear,0.5330538153648376
This this memory came out of nowhere!,surprise,0.8938903212547302
my family doesn't affect me much.,sadness,0.8322721719741821
the past is the love of my life!,anger,0.3718547821044922
I'm paralyzed with fear about the past.,fear,0.9843341708183289
This this failure has me feeling blue.,sadness,0.9657729268074036
I can't handle the fear of this opportunity.,fear,0.9867421984672546
I'm grieving over the news.,sadness,0.982660710811615
this memory is making me feel so lonely.,sadness,0.9770931005477905
I'm in the depths of despair because of this moment.,fear,0.9223645925521851
My love for this achievement knows no bounds.,joy,0.9359084367752075
I cherish this conversation more than words can say.,joy,0.8625890016555786
I adore this gift with all my heart!,joy,0.9806786179542542
This this gift is neither good nor bad.,disgust,0.809571385383606
This my family is quite ordinary.,surprise,0.6026803851127625
this achievement has me seeing red!,joy,0.5188210606575012
This is the best day ever because of this failure!,joy,0.7876039743423462
My jaw dropped when I saw this situation!,surprise,0.7826099991798401
This this movie has left me heartbroken.,sadness,0.9874292016029358
I observed my health without much reaction.,disgust,0.6614068746566772
How dare they this food!,anger,0.973212718963623
What an unexpected the past!,surprise,0.9477201104164124
This this failure is neither good nor bad.,disgust,0.5276339650154114
This this challenge is quite ordinary.,neutral,0.5272675156593323
My blood is boiling because of this event!,anger,0.9917824268341064
This this situation has me feeling blue.,sadness,0.8918251395225525
this movie makes my heart flutter!,surprise,0.5539795160293579
this place happened as expected.,neutral,0.5588750243186951
This this movie is neither good nor bad.,disgust,0.740314245223999
this book happened as expected.,surprise,0.521052896976471
I adore the weather with all my heart!,joy,0.9842218160629272
Tears won't stop falling because of the past.,sadness,0.7242333889007568
the past happened as expected.,neutral,0.7903547286987305
I adore this book with all my heart!,joy,0.9828071594238281
My love for this failure knows no bounds.,sadness,0.9005823731422424
My anxiety about my finances is overwhelming.,fear,0.9913643598556519
I can't stop crying about this opportunity.,sadness,0.4182003438472748
I'm in the depths of despair because of these changes.,fear,0.8216634392738342
I'm feeling so down about my health...,sadness,0.9821175932884216
this achievement is my worst nightmare!,disgust,0.711073637008667
this memory is just normal.,neutral,0.9350992441177368
I cherish this memory more than words can say.,joy,0.6002755165100098
What a wonderful my relationship we're experiencing!,joy,0.938011109828949
My jaw dropped when I saw this challenge!,surprise,0.9071876406669617
my family took me completely by surprise!,surprise,0.9564005136489868
I'm absolutely furious about this song!,anger,0.9822485446929932
I'm thinking about my relationship.,fear,0.3527171313762665
Wow! I can't believe this challenge happened!,surprise,0.9777326583862305
This this moment has left me heartbroken.,sadness,0.987080991268158
This this movie is completely unacceptable!,anger,0.4801340401172638
this song happened as expected.,surprise,0.44915127754211426
I'm boiling with rage because of the news.,anger,0.9926387071609497
This the weather came out of nowhere!,surprise,0.9038140177726746
I feel absolutely delighted by this movie.,joy,0.9904091358184814
this food is the love of my life!,joy,0.8081070184707642
I feel such deep love for this movie.,joy,0.9447725415229797
I'm flabbergasted by this achievement!,surprise,0.9030851721763611
I'm enraged by my job!,anger,0.9874130487442017
I'm thrilled beyond words about this moment!,joy,0.9565707445144653
this opportunity left me speechless!,surprise,0.6206632852554321
This the future is neither good nor bad.,neutral,0.5236170291900635
The thought of this memory fills me with dread.,fear,0.9869709014892578
I feel absolutely delighted by my friends.,joy,0.9908556938171387
this situation is making me feel so lonely.,sadness,0.9799450635910034
I can't sleep because I'm so scared of this song.,fear,0.9897040724754333
I'm head over heels for this achievement!,neutral,0.2971092760562897
I'm in the depths of despair because of this discovery.,fear,0.8964294195175171
I adore this failure with all my heart!,joy,0.9385163187980652
My heart races whenever I think about this event.,surprise,0.46311184763908386
I'm feeling so down about this challenge...,sadness,0.98468416929245
I'm indifferent about this surprise.,surprise,0.8374596238136292
I'm head over heels for the future!,anger,0.4142318665981293
I can't sleep because I'm so scared of this opportunity.,fear,0.9909018874168396
I'm head over heels for this gift!,surprise,0.3422313630580902
this opportunity is just normal.,joy,0.38356372714042664
I'm grieving over this realization.,sadness,0.9792987108230591
My heart aches because of my finances.,sadness,0.9684582352638245
This this book scares me to death!,fear,0.9718607068061829
I can't handle the fear of my job.,fear,0.9907894730567932
I'm flabbergasted by the news!,surprise,0.9287217855453491
This my job is neither good nor bad.,joy,0.5751956701278687
I'm in the depths of despair because of this gift.,fear,0.884032666683197
I observed this decision without much reaction.,disgust,0.7057458162307739
I'm enraged by my job!,anger,0.9874130487442017
This the past scares me to death!,fear,0.9769929647445679
This this situation is neither good nor bad.,disgust,0.6158469915390015
I never expected this event to happen!,surprise,0.9575977325439453
I'm so mad I can't even think straight about my relationship!,anger,0.8694735765457153
My heart is full of joy because of this book.,joy,0.9912503957748413
I'm flabbergasted by this situation!,surprise,0.94759601354599
This my health has me feeling blue.,sadness,0.9538996815681458
this surprise is making me livid!,anger,0.8815586566925049
this food is my worst nightmare!,disgust,0.7922070026397705
I feel absolutely delighted by this food.,joy,0.9904006123542786
this moment makes my heart flutter!,fear,0.6690599322319031
this challenge is the love of my life!,joy,0.8047505021095276
the past happened as expected.,neutral,0.7903547286987305
I can't stop smiling about this memory!,joy,0.9511590003967285
I'm so happy about this song!,joy,0.9807330369949341
this failure has me seeing red!,anger,0.5433030128479004
I'm enraged by this achievement!,anger,0.9858217835426331
My blood is boiling because of this book!,anger,0.9920627474784851
I'm head over heels for this realization!,surprise,0.4943409562110901
I'm indifferent about this situation.,disgust,0.567813515663147
this discovery has me seeing red!,surprise,0.8320547342300415
This my friends is quite ordinary.,surprise,0.6066948175430298
I adore this moment with all my heart!,joy,0.9819086790084839
I can't stop smiling about this achievement!,joy,0.9729048013687134
this surprise doesn't affect me much.,surprise,0.9763988852500916
this food makes me feel ecstatic!,joy,0.9858970046043396
I'm absolutely furious about my finances!,anger,0.9838736653327942
this opportunity took me completely by surprise!,surprise,0.949096143245697
This is the best day ever because of this place!,joy,0.8003528714179993
I cherish this discovery more than words can say.,joy,0.8658403754234314
I'm indifferent about my finances.,disgust,0.45375898480415344
I'm grieving over this event.,sadness,0.9837840795516968
I can't stop crying about this opportunity.,sadness,0.4182003438472748
I'm flabbergasted by this event!,surprise,0.8954308032989502
this opportunity happened as expected.,surprise,0.4641622304916382
How dare they this song!,anger,0.9812430739402771
My heart races whenever I think about this challenge.,fear,0.5046579241752625
My soul is filled with love because of these changes.,joy,0.49117231369018555
This is the best day ever because of my job!,joy,0.938513457775116
I can't sleep because I'm so scared of this moment.,fear,0.9912152290344238
I'm enraged by this surprise!,anger,0.9645009636878967
I'm enraged by the news!,anger,0.9874466061592102
This this movie is quite ordinary.,surprise,0.3482132852077484
What an unexpected this movie!,surprise,0.9059782028198242
I'm completely enamored with the past!,joy,0.8517000079154968
I'm paralyzed with fear about this place.,fear,0.990568220615387
I'm completely enamored with this place!,joy,0.9607498645782471
I'm flabbergasted by my family!,surprise,0.8086398839950562
I'm absolutely furious about this challenge!,anger,0.9854727387428284
This these changes has left me heartbroken.,sadness,0.9870147705078125
My soul is filled with love because of the news.,sadness,0.9454946517944336
I'm so happy about this challenge!,joy,0.9828295111656189
the future left me speechless!,fear,0.6637737154960632
this situation is my worst nightmare!,disgust,0.7620393633842468
Tears won't stop falling because of this conversation.,sadness,0.7048529982566833
this realization is my worst nightmare!,disgust,0.6219531297683716
My heart races whenever I think about this book.,fear,0.4228494465351105
The thought of this failure fills me with dread.,fear,0.9888527393341064
this conversation is making me livid!,anger,0.9821640253067017
I'm terrified of this moment!,fear,0.991588294506073
this memory took me completely by surprise!,surprise,0.957687258720398
this surprise has me seeing red!,surprise,0.9623927474021912
I feel such deep love for this event.,joy,0.9658201932907104
My jaw dropped when I saw this song!,surprise,0.8684191703796387
Wow! I can't believe this failure happened!,surprise,0.9765415191650391
This the future makes me so angry I could scream!,anger,0.9865664839744568
The thought of this moment fills me with dread.,fear,0.9885857701301575
What an unexpected this achievement!,surprise,0.9215789437294006
This this realization brings me so much happiness!,joy,0.9863155484199524
I'm so mad I can't even think straight about this realization!,anger,0.8459915518760681
this situation has me seeing red!,surprise,0.4591914117336273
I feel absolutely delighted by the news.,joy,0.991209864616394
My heart races whenever I think about this song.,surprise,0.4645983874797821
the news is making me feel so lonely.,sadness,0.9875825047492981
I can't stop crying about my friends.,sadness,0.9702198505401611
My heart races whenever I think about my job.,fear,0.7448917627334595
my job makes my heart flutter!,fear,0.5230951309204102
my job is my worst nightmare!,fear,0.8955121636390686
I'm terrified of this decision!,fear,0.9920538663864136
I'm astonished by this surprise!,surprise,0.9795486927032471
I'm over the moon about this song!,surprise,0.5176523327827454
I'm flabbergasted by my relationship!,surprise,0.8840179443359375
I'm grieving over the news.,sadness,0.982660710811615
I'm thrilled beyond words about this situation!,joy,0.9617641568183899
I'm grieving over this event.,sadness,0.9837840795516968
my friends is the love of my life!,joy,0.7342250347137451
I feel absolutely delighted by these changes.,joy,0.986699104309082
This is the best day ever because of this food!,joy,0.8079073429107666
I'm shaking with fear because of this decision.,fear,0.9941704273223877
I can't stop crying about my relationship.,sadness,0.9623122811317444
I noticed this situation today.,surprise,0.5128169655799866
This this gift makes me so angry I could scream!,anger,0.9888495802879333
this memory makes my heart flutter!,surprise,0.484088271856308
I can't stop smiling about this moment!,joy,0.9678760766983032
I'm so mad I can't even think straight about my relationship!,anger,0.8694735765457153
I'm completely shocked by my friends!,surprise,0.978669285774231
I can't sleep because I'm so scared of my finances.,fear,0.9912793040275574
this gift doesn't affect me much.,neutral,0.7761996984481812
this food is just normal.,neutral,0.9313912391662598
I'm thrilled beyond words about my friends!,joy,0.9503920674324036
This this achievement is completely unacceptable!,anger,0.6707109212875366
I'm boiling with rage because of the future.,anger,0.9922173023223877
My anxiety about this surprise is overwhelming.,surprise,0.7345566153526306
I'm grieving over the weather.,sadness,0.981573760509491
I feel absolutely delighted by this challenge.,joy,0.9902532696723938
I'm thinking about this discovery.,joy,0.4967725872993469
My jaw dropped when I saw this realization!,surprise,0.8753073811531067
I'm thrilled beyond words about this failure!,joy,0.9518686532974243
I'm completely enamored with this challenge!,joy,0.9659035801887512
I'm shaking with fear because of this discovery.,fear,0.9940659999847412
I'm completely shocked by my family!,surprise,0.9782007932662964
this decision took me completely by surprise!,surprise,0.963640570640564
I'm thinking about my family.,sadness,0.3016434609889984
This this decision is neither good nor bad.,disgust,0.5297880172729492
the weather is just normal.,neutral,0.7960291504859924
this movie is making me feel so lonely.,sadness,0.9832062721252441
My heart is full of joy because of my health.,joy,0.9894606471061707
my finances doesn't affect me much.,sadness,0.8930540084838867
this decision has me seeing red!,anger,0.4516562521457672
this event is making me feel so lonely.,sadness,0.9801967144012451
I can't sleep because I'm so scared of this song.,fear,0.9897040724754333
My heart is full of joy because of this event.,joy,0.9918143153190613
I'm absolutely furious about my finances!,anger,0.9838736653327942
I'm over the moon about this failure!,disgust,0.3057557940483093
This the news brings me so much happiness!,joy,0.9815882444381714
I'm astonished by my family!,surprise,0.9764991402626038
My heart is full of joy because of this memory.,joy,0.9913467764854431
I'm completely shocked by this surprise!,surprise,0.980739951133728
I'm terrified of this memory!,fear,0.9913938641548157
I'm so mad I can't even think straight about the future!,anger,0.8553385734558105
I'm shaking with fear because of this movie.,fear,0.9943106174468994
This the news came out of nowhere!,surprise,0.9165553450584412
the news is making me feel so lonely.,sadness,0.9875825047492981
I'm overwhelmed with sorrow about my relationship.,sadness,0.5820407271385193
I'm terrified of this challenge!,fear,0.9922426342964172
I noticed this discovery today.,surprise,0.6685721278190613
my family has me seeing red!,surprise,0.8351881504058838
this achievement left me speechless!,surprise,0.7477618455886841
I'm absolutely furious about the future!,anger,0.983767032623291
Wow! I can't believe this food happened!,surprise,0.9742082357406616
I'm feeling so down about the weather...,sadness,0.9838491678237915
This my job is quite ordinary.,neutral,0.4683661460876465
I'm shaking with fear because of my relationship.,fear,0.9947579503059387
I can't stop smiling about this movie!,joy,0.9772130846977234
this movie left me speechless!,surprise,0.7023347020149231
I noticed this gift today.,surprise,0.7538074254989624
I feel absolutely delighted by this challenge.,joy,0.9902532696723938
I feel absolutely delighted by this book.,joy,0.9905923008918762
My anxiety about my health is overwhelming.,fear,0.9914354681968689
My heart races whenever I think about this movie.,surprise,0.41910022497177124
the past has me seeing red!,surprise,0.5239967703819275
There's nothing special about this challenge.,neutral,0.8807106018066406
I can't handle the fear of this moment.,fear,0.9874717593193054
