text,emotion,confidence_score
I'm so mad I can't even think straight about this achievement!,anger,0.8567900061607361
How dare they this failure!,anger,0.9833202958106995
I'm so mad I can't even think straight about this situation!,anger,0.8512074947357178
this conversation is making me livid!,anger,0.9821640253067017
I'm boiling with rage because of this gift.,anger,0.991507887840271
I'm so mad I can't even think straight about this realization!,anger,0.8459915518760681
My blood is boiling because of this discovery!,anger,0.991398811340332
This this decision is completely unacceptable!,anger,0.7777758240699768
How dare they this event!,anger,0.981819748878479
I'm enraged by this book!,anger,0.986189067363739
I'm enraged by my job!,anger,0.9874130487442017
I'm absolutely furious about this discovery!,anger,0.9816147685050964
I'm enraged by this place!,anger,0.9853846430778503
I'm boiling with rage because of my family.,anger,0.9915832877159119
This my family is completely unacceptable!,anger,0.8110681772232056
How dare they my relationship!,anger,0.9876982569694519
How dare they this achievement!,anger,0.981695294380188
I'm head over heels for this song!,anger,0.38694101572036743
the past is the love of my life!,anger,0.3718547821044922
this failure is the love of my life!,anger,0.48823365569114685
My blood is boiling because of this failure!,anger,0.9924042820930481
I'm so mad I can't even think straight about the weather!,anger,0.8346566557884216
This this situation makes me so angry I could scream!,anger,0.9869810938835144
I'm absolutely furious about this book!,anger,0.9831432700157166
I'm enraged by this decision!,anger,0.985529899597168
This this realization is completely unacceptable!,anger,0.7109254002571106
This the past makes me so angry I could scream!,anger,0.9855420589447021
I'm absolutely furious about this conversation!,anger,0.9832575917243958
This the future makes me so angry I could scream!,anger,0.9865664839744568
I'm boiling with rage because of the future.,anger,0.9922173023223877
I'm boiling with rage because of this surprise.,anger,0.9128047227859497
My blood is boiling because of these changes!,anger,0.9918311238288879
this decision is making me livid!,anger,0.9837318658828735
This this place is completely unacceptable!,anger,0.6126180291175842
I'm head over heels for the future!,anger,0.4142318665981293
I'm enraged by these changes!,anger,0.9878843426704407
This this gift makes me so angry I could scream!,anger,0.9888495802879333
My blood is boiling because of my family!,anger,0.9928092956542969
I'm so mad I can't even think straight about this gift!,anger,0.8425242900848389
I'm enraged by this decision!,anger,0.985529899597168
This my family is completely unacceptable!,anger,0.8110681772232056
I'm head over heels for this decision!,anger,0.4459875822067261
My blood is boiling because of this realization!,anger,0.9927518367767334
I'm so mad I can't even think straight about my finances!,anger,0.8431413173675537
This my finances makes me so angry I could scream!,anger,0.9855244755744934
I'm so mad I can't even think straight about the past!,anger,0.839447557926178
I'm head over heels for the weather!,anger,0.24825000762939453
I'm head over heels for this situation!,anger,0.46974465250968933
I'm boiling with rage because of this book.,anger,0.9914643168449402
My blood is boiling because of this memory!,anger,0.9925615191459656
I'm completely enamored with my relationship!,anger,0.7469531297683716
My blood is boiling because of this surprise!,anger,0.9274477362632751
I'm absolutely furious about this failure!,anger,0.9836376905441284
I'm head over heels for this song!,anger,0.38694101572036743
How dare they this realization!,anger,0.9835489988327026
I'm head over heels for my family!,anger,0.6836228370666504
I'm so mad I can't even think straight about this achievement!,anger,0.8567900061607361
How dare they this movie!,anger,0.9762152433395386
I'm head over heels for the past!,anger,0.3013427257537842
My blood is boiling because of my friends!,anger,0.9923834204673767
I'm so mad I can't even think straight about this memory!,anger,0.809641420841217
this discovery is making me livid!,anger,0.9837204217910767
this surprise is making me livid!,anger,0.8815586566925049
my relationship is making me livid!,anger,0.9904453754425049
I'm so mad I can't even think straight about the past!,anger,0.839447557926178
I'm head over heels for my job!,anger,0.5435160994529724
this opportunity is making me livid!,anger,0.984745442867279
My blood is boiling because of my relationship!,anger,0.99257892370224
This this achievement makes me so angry I could scream!,anger,0.9891065955162048
I'm enraged by the news!,anger,0.9874466061592102
How dare they this achievement!,anger,0.981695294380188
This my friends is completely unacceptable!,anger,0.7151954770088196
I'm head over heels for this memory!,anger,0.3769678473472595
I'm enraged by my health!,anger,0.9873894453048706
My blood is boiling because of this memory!,anger,0.9925615191459656
My blood is boiling because of my friends!,anger,0.9923834204673767
I'm so mad I can't even think straight about this gift!,anger,0.8425242900848389
I'm enraged by my family!,anger,0.9870217442512512
My blood is boiling because of this book!,anger,0.9920627474784851
I'm enraged by this movie!,anger,0.9864522218704224
I'm enraged by this opportunity!,anger,0.9856448173522949
This this book is completely unacceptable!,anger,0.5147020816802979
I'm so mad I can't even think straight about my health!,anger,0.8478823304176331
I'm absolutely furious about these changes!,anger,0.983661949634552
My blood is boiling because of the future!,anger,0.9924644231796265
I'm boiling with rage because of this challenge.,anger,0.9921779036521912
I'm absolutely furious about this food!,anger,0.9816229343414307
this achievement is making me livid!,anger,0.9829559326171875
How dare they this movie!,anger,0.9762152433395386
I'm head over heels for this failure!,anger,0.6190162301063538
I'm so mad I can't even think straight about the weather!,anger,0.8346566557884216
This my finances makes me so angry I could scream!,anger,0.9855244755744934
this song is making me livid!,anger,0.9827297925949097
How dare they my job!,anger,0.9891932606697083
How dare they these changes!,anger,0.9822028875350952
this surprise is making me livid!,anger,0.8815586566925049
I'm absolutely furious about this situation!,anger,0.980885922908783
This this memory makes me so angry I could scream!,anger,0.986786425113678
I'm so mad I can't even think straight about my finances!,anger,0.8431413173675537
How dare they the past!,anger,0.9841187000274658
I'm so mad I can't even think straight about this failure!,anger,0.8699329495429993
My blood is boiling because of this movie!,anger,0.9920874238014221
This my friends is completely unacceptable!,anger,0.7151954770088196
this surprise is making me livid!,anger,0.8815586566925049
My blood is boiling because of this place!,anger,0.9896384477615356
I'm absolutely furious about my finances!,anger,0.9838736653327942
I'm so mad I can't even think straight about this opportunity!,anger,0.8609535694122314
This this failure makes me so angry I could scream!,anger,0.9893054962158203
How dare they my family!,anger,0.9878467917442322
I'm head over heels for my health!,anger,0.4113066792488098
the future is making me livid!,anger,0.9862896800041199
I'm boiling with rage because of this gift.,anger,0.991507887840271
I'm over the moon about my job!,anger,0.46237555146217346
I'm head over heels for this movie!,anger,0.31518858671188354
I'm absolutely furious about the news!,anger,0.9845457077026367
My blood is boiling because of the future!,anger,0.9924644231796265
How dare they this challenge!,anger,0.9862285852432251
This the news makes me so angry I could scream!,anger,0.9863974452018738
I'm enraged by the future!,anger,0.9858885407447815
I'm head over heels for this failure!,anger,0.6190162301063538
How dare they this event!,anger,0.981819748878479
This this gift makes me so angry I could scream!,anger,0.9888495802879333
I'm head over heels for this song!,anger,0.38694101572036743
I'm so mad I can't even think straight about this movie!,anger,0.8324258327484131
this memory is making me livid!,anger,0.983906626701355
I'm so mad I can't even think straight about this realization!,anger,0.8459915518760681
This my job makes me so angry I could scream!,anger,0.9854427576065063
I'm absolutely furious about this surprise!,anger,0.9252762198448181
How dare they my health!,anger,0.985458254814148
I'm so mad I can't even think straight about this situation!,anger,0.8512074947357178
This this surprise makes me so angry I could scream!,anger,0.6412873864173889
How dare they this surprise!,anger,0.6198326349258423
How dare they the news!,anger,0.9813868403434753
I'm over the moon about my job!,anger,0.46237555146217346
this failure is the love of my life!,anger,0.48823365569114685
I'm head over heels for my job!,anger,0.5435160994529724
I'm absolutely furious about the future!,anger,0.983767032623291
My blood is boiling because of this movie!,anger,0.9920874238014221
My blood is boiling because of this song!,anger,0.9924144148826599
This this challenge makes me so angry I could scream!,anger,0.9879662394523621
I'm head over heels for this song!,anger,0.38694101572036743
I'm boiling with rage because of this discovery.,anger,0.9921810626983643
My blood is boiling because of these changes!,anger,0.9918311238288879
I'm absolutely furious about this realization!,anger,0.9826743006706238
How dare they my health!,anger,0.985458254814148
I'm enraged by my finances!,anger,0.9859936237335205
I'm enraged by the past!,anger,0.9849361777305603
I'm so mad I can't even think straight about this movie!,anger,0.8324258327484131
I'm head over heels for my job!,anger,0.5435160994529724
How dare they these changes!,anger,0.9822028875350952
I'm absolutely furious about the weather!,anger,0.9844098091125488
I'm boiling with rage because of this surprise.,anger,0.9128047227859497
I'm head over heels for my family!,anger,0.6836228370666504
I'm boiling with rage because of my finances.,anger,0.9924296736717224
I'm enraged by this conversation!,anger,0.9856235980987549
This this gift makes me so angry I could scream!,anger,0.9888495802879333
I'm head over heels for this moment!,anger,0.45259198546409607
I'm absolutely furious about this food!,anger,0.9816229343414307
I'm head over heels for the weather!,anger,0.24825000762939453
I'm absolutely furious about this food!,anger,0.9816229343414307
I'm boiling with rage because of this book.,anger,0.9914643168449402
My blood is boiling because of this movie!,anger,0.9920874238014221
My blood is boiling because of this movie!,anger,0.9920874238014221
I'm boiling with rage because of this situation.,anger,0.991359531879425
I'm absolutely furious about this discovery!,anger,0.9816147685050964
I'm so mad I can't even think straight about this book!,anger,0.8388785719871521
I'm absolutely furious about my health!,anger,0.9844179153442383
I'm completely enamored with this failure!,anger,0.7088040113449097
I'm boiling with rage because of this decision.,anger,0.9924847483634949
How dare they this decision!,anger,0.9821071028709412
I'm absolutely furious about this event!,anger,0.9823982119560242
I'm absolutely furious about this moment!,anger,0.9833778142929077
I'm so mad I can't even think straight about this opportunity!,anger,0.8609535694122314
I'm absolutely furious about this achievement!,anger,0.9843676686286926
this challenge is making me livid!,anger,0.9845490455627441
My blood is boiling because of this food!,anger,0.9885900616645813
I'm absolutely furious about the past!,anger,0.9818686842918396
My blood is boiling because of my family!,anger,0.9928092956542969
I'm so mad I can't even think straight about this opportunity!,anger,0.8609535694122314
This this conversation makes me so angry I could scream!,anger,0.9880362749099731
I'm boiling with rage because of these changes.,anger,0.9926303625106812
I'm absolutely furious about this food!,anger,0.9816229343414307
How dare they this food!,anger,0.973212718963623
I'm absolutely furious about my family!,anger,0.9849473237991333
I'm enraged by this failure!,anger,0.9873769283294678
I'm so mad I can't even think straight about this decision!,anger,0.8766627907752991
I'm absolutely furious about my friends!,anger,0.9831013083457947
I'm absolutely furious about this event!,anger,0.9823982119560242
This the future is completely unacceptable!,anger,0.7074503898620605
my health is making me livid!,anger,0.9809519648551941
How dare they the news!,anger,0.9813868403434753
I'm so mad I can't even think straight about these changes!,anger,0.8453059792518616
I'm so mad I can't even think straight about this movie!,anger,0.8324258327484131
I'm absolutely furious about my friends!,anger,0.9831013083457947
this movie is making me livid!,anger,0.9790557026863098
I'm boiling with rage because of this surprise.,anger,0.9128047227859497
This this achievement makes me so angry I could scream!,anger,0.9891065955162048
I'm boiling with rage because of this place.,anger,0.9900970458984375
My blood is boiling because of this place!,anger,0.9896384477615356
This this decision is completely unacceptable!,anger,0.7777758240699768
This this place is completely unacceptable!,anger,0.6126180291175842
this movie is making me livid!,anger,0.9790557026863098
This my relationship is completely unacceptable!,anger,0.8595867156982422
My blood is boiling because of this song!,anger,0.9924144148826599
How dare they this situation!,anger,0.9810178279876709
This this book is completely unacceptable!,anger,0.5147020816802979
this situation is making me livid!,anger,0.9843228459358215
this discovery is making me livid!,anger,0.9837204217910767
I'm over the moon about my job!,anger,0.46237555146217346
My blood is boiling because of my family!,anger,0.9928092956542969
This this opportunity is completely unacceptable!,anger,0.8244149684906006
I'm head over heels for the weather!,anger,0.24825000762939453
I'm absolutely furious about my friends!,anger,0.9831013083457947
I'm boiling with rage because of my health.,anger,0.9928218722343445
I'm enraged by this book!,anger,0.986189067363739
My blood is boiling because of the news!,anger,0.9924091100692749
I'm boiling with rage because of this moment.,anger,0.991878867149353
How dare they this event!,anger,0.981819748878479
I'm head over heels for this book!,anger,0.3129541873931885
My blood is boiling because of this moment!,anger,0.9920124411582947
I'm so mad I can't even think straight about my health!,anger,0.8478823304176331
this surprise is making me livid!,anger,0.8815586566925049
this challenge is making me livid!,anger,0.9845490455627441
How dare they this decision!,anger,0.9821071028709412
I'm so mad I can't even think straight about this failure!,anger,0.8699329495429993
this surprise is making me livid!,anger,0.8815586566925049
My blood is boiling because of this conversation!,anger,0.9930222630500793
This my job is completely unacceptable!,anger,0.8674667477607727
I'm absolutely furious about this moment!,anger,0.9833778142929077
I'm absolutely furious about this opportunity!,anger,0.9832760095596313
I'm absolutely furious about this conversation!,anger,0.9832575917243958
I'm boiling with rage because of this failure.,anger,0.9928556680679321
I'm boiling with rage because of this gift.,anger,0.991507887840271
This my family is completely unacceptable!,anger,0.8110681772232056
My blood is boiling because of this situation!,anger,0.9920752048492432
this decision is making me livid!,anger,0.9837318658828735
How dare they my friends!,anger,0.9863260984420776
I'm absolutely furious about my relationship!,anger,0.9852026104927063
I'm absolutely furious about these changes!,anger,0.983661949634552
How dare they my relationship!,anger,0.9876982569694519
I'm boiling with rage because of this movie.,anger,0.9888380765914917
My blood is boiling because of this gift!,anger,0.9919695258140564
I'm enraged by this decision!,anger,0.985529899597168
I'm enraged by the past!,anger,0.9849361777305603
I'm enraged by this song!,anger,0.9860650300979614
This this memory is completely unacceptable!,anger,0.5535905361175537
I'm head over heels for my health!,anger,0.4113066792488098
How dare they this surprise!,anger,0.6198326349258423
My blood is boiling because of this achievement!,anger,0.9931187629699707
I'm enraged by this decision!,anger,0.985529899597168
I'm enraged by this discovery!,anger,0.9873379468917847
This this achievement is completely unacceptable!,anger,0.6707109212875366
My blood is boiling because of this song!,anger,0.9924144148826599
This this realization is completely unacceptable!,anger,0.7109254002571106
I'm so mad I can't even think straight about this decision!,anger,0.8766627907752991
This my friends makes me so angry I could scream!,anger,0.982488751411438
I'm so mad I can't even think straight about my health!,anger,0.8478823304176331
I'm boiling with rage because of this situation.,anger,0.991359531879425
I'm absolutely furious about this discovery!,anger,0.9816147685050964
My blood is boiling because of the news!,anger,0.9924091100692749
This my friends is completely unacceptable!,anger,0.7151954770088196
I'm absolutely furious about this situation!,anger,0.980885922908783
I'm boiling with rage because of the news.,anger,0.9926387071609497
I'm so mad I can't even think straight about my health!,anger,0.8478823304176331
my health is making me livid!,anger,0.9809519648551941
I'm enraged by my health!,anger,0.9873894453048706
this moment is making me livid!,anger,0.9849221110343933
I'm boiling with rage because of this movie.,anger,0.9888380765914917
How dare they this surprise!,anger,0.6198326349258423
I'm absolutely furious about this event!,anger,0.9823982119560242
I'm enraged by my family!,anger,0.9870217442512512
I'm boiling with rage because of this situation.,anger,0.991359531879425
I'm so mad I can't even think straight about my relationship!,anger,0.8694735765457153
How dare they my health!,anger,0.985458254814148
How dare they this memory!,anger,0.9815194606781006
I'm enraged by this food!,anger,0.9853544235229492
This this event makes me so angry I could scream!,anger,0.9876940250396729
How dare they this food!,anger,0.973212718963623
I'm absolutely furious about this opportunity!,anger,0.9832760095596313
I'm boiling with rage because of this event.,anger,0.9915481209754944
this moment is making me livid!,anger,0.9849221110343933
I'm enraged by my job!,anger,0.9874130487442017
I'm boiling with rage because of this situation.,anger,0.991359531879425
I'm head over heels for my job!,anger,0.5435160994529724
My blood is boiling because of this decision!,anger,0.9927829504013062
I'm enraged by this surprise!,anger,0.9645009636878967
I'm boiling with rage because of this song.,anger,0.990496039390564
I'm enraged by my family!,anger,0.9870217442512512
the past is making me livid!,anger,0.9838727116584778
I'm enraged by this discovery!,anger,0.9873379468917847
My blood is boiling because of this opportunity!,anger,0.9931689500808716
How dare they the weather!,anger,0.9841874837875366
This this gift is completely unacceptable!,anger,0.6913625001907349
This this song makes me so angry I could scream!,anger,0.987597644329071
This my finances makes me so angry I could scream!,anger,0.9855244755744934
I'm so mad I can't even think straight about the news!,anger,0.8252471685409546
My blood is boiling because of this opportunity!,anger,0.9931689500808716
I'm enraged by my health!,anger,0.9873894453048706
How dare they the past!,anger,0.9841187000274658
I'm so mad I can't even think straight about my health!,anger,0.8478823304176331
the future is making me livid!,anger,0.9862896800041199
This this failure is completely unacceptable!,anger,0.7942463159561157
I'm boiling with rage because of this achievement.,anger,0.9922139048576355
How dare they this gift!,anger,0.9775736927986145
I'm absolutely furious about this memory!,anger,0.9795260429382324
How dare they this event!,anger,0.981819748878479
How dare they the weather!,anger,0.9841874837875366
I'm absolutely furious about this achievement!,anger,0.9843676686286926
I'm boiling with rage because of my finances.,anger,0.9924296736717224
the weather is making me livid!,anger,0.9874332547187805
this movie is making me livid!,anger,0.9790557026863098
I'm enraged by this song!,anger,0.9860650300979614
I'm so mad I can't even think straight about this opportunity!,anger,0.8609535694122314
the news is making me livid!,anger,0.9854944944381714
I'm so mad I can't even think straight about my family!,anger,0.8659309148788452
I'm absolutely furious about this opportunity!,anger,0.9832760095596313
This this surprise makes me so angry I could scream!,anger,0.6412873864173889
I'm enraged by this gift!,anger,0.9855076670646667
I'm enraged by my job!,anger,0.9874130487442017
I'm boiling with rage because of my finances.,anger,0.9924296736717224
I'm so mad I can't even think straight about this opportunity!,anger,0.8609535694122314
My blood is boiling because of this realization!,anger,0.9927518367767334
My blood is boiling because of this discovery!,anger,0.991398811340332
I'm so mad I can't even think straight about my health!,anger,0.8478823304176331
I'm absolutely furious about this gift!,anger,0.9828361868858337
I'm head over heels for my family!,anger,0.6836228370666504
How dare they this gift!,anger,0.9775736927986145
I'm boiling with rage because of this song.,anger,0.990496039390564
I'm head over heels for my finances!,anger,0.5569843649864197
My blood is boiling because of this discovery!,anger,0.991398811340332
This this decision makes me so angry I could scream!,anger,0.987135112285614
I'm head over heels for this moment!,anger,0.45259198546409607
I'm so mad I can't even think straight about this food!,anger,0.8274351358413696
I'm absolutely furious about the news!,anger,0.9845457077026367
I'm so mad I can't even think straight about the news!,anger,0.8252471685409546
this gift is making me livid!,anger,0.97407466173172
This this conversation makes me so angry I could scream!,anger,0.9880362749099731
I'm absolutely furious about this memory!,anger,0.9795260429382324
I'm boiling with rage because of this song.,anger,0.990496039390564
This this memory makes me so angry I could scream!,anger,0.986786425113678
I'm head over heels for my health!,anger,0.4113066792488098
This this song makes me so angry I could scream!,anger,0.987597644329071
this surprise is making me livid!,anger,0.8815586566925049
How dare they this achievement!,anger,0.981695294380188
I'm head over heels for this decision!,anger,0.4459875822067261
I'm boiling with rage because of my relationship.,anger,0.9922391176223755
I'm enraged by my health!,anger,0.9873894453048706
How dare they this realization!,anger,0.9835489988327026
This this moment is completely unacceptable!,anger,0.7528144121170044
I'm boiling with rage because of this achievement.,anger,0.9922139048576355
I'm enraged by this surprise!,anger,0.9645009636878967
I'm head over heels for my family!,anger,0.6836228370666504
this moment is making me livid!,anger,0.9849221110343933
I'm enraged by this place!,anger,0.9853846430778503
I'm so mad I can't even think straight about this book!,anger,0.8388785719871521
I'm enraged by the past!,anger,0.9849361777305603
I'm boiling with rage because of this song.,anger,0.990496039390564
I'm boiling with rage because of this place.,anger,0.9900970458984375
This the weather makes me so angry I could scream!,anger,0.9853885769844055
This the future is completely unacceptable!,anger,0.7074503898620605
I'm boiling with rage because of this memory.,anger,0.9918184280395508
I'm absolutely furious about this place!,anger,0.9822925925254822
I'm enraged by the weather!,anger,0.9857550859451294
I'm absolutely furious about the past!,anger,0.9818686842918396
I'm absolutely furious about the news!,anger,0.9845457077026367
I'm boiling with rage because of this challenge.,anger,0.9921779036521912
this song is making me livid!,anger,0.9827297925949097
This my health makes me so angry I could scream!,anger,0.9823353886604309
I'm enraged by my job!,anger,0.9874130487442017
This my friends makes me so angry I could scream!,anger,0.982488751411438
I'm enraged by this food!,anger,0.9853544235229492
I'm head over heels for this movie!,anger,0.31518858671188354
My blood is boiling because of my family!,anger,0.9928092956542969
I'm absolutely furious about this book!,anger,0.9831432700157166
This my finances makes me so angry I could scream!,anger,0.9855244755744934
This the future makes me so angry I could scream!,anger,0.9865664839744568
I'm so mad I can't even think straight about these changes!,anger,0.8453059792518616
This this failure makes me so angry I could scream!,anger,0.9893054962158203
How dare they this decision!,anger,0.9821071028709412
I'm boiling with rage because of this opportunity.,anger,0.9927178621292114
This these changes is completely unacceptable!,anger,0.6247477531433105
I'm so mad I can't even think straight about this food!,anger,0.8274351358413696
I'm enraged by this discovery!,anger,0.9873379468917847
This this realization is completely unacceptable!,anger,0.7109254002571106
I'm head over heels for my job!,anger,0.5435160994529724
I'm boiling with rage because of this song.,anger,0.990496039390564
I'm head over heels for my finances!,anger,0.5569843649864197
How dare they this achievement!,anger,0.981695294380188
This my job is completely unacceptable!,anger,0.8674667477607727
I'm absolutely furious about this decision!,anger,0.9822579026222229
My blood is boiling because of the past!,anger,0.9914724826812744
My blood is boiling because of this opportunity!,anger,0.9931689500808716
I'm absolutely furious about this moment!,anger,0.9833778142929077
I'm boiling with rage because of this food.,anger,0.9916170239448547
I'm absolutely furious about this food!,anger,0.9816229343414307
How dare they this realization!,anger,0.9835489988327026
I'm absolutely furious about the weather!,anger,0.9844098091125488
I'm so mad I can't even think straight about this place!,anger,0.8175250291824341
I'm boiling with rage because of my health.,anger,0.9928218722343445
This this place makes me so angry I could scream!,anger,0.9863068461418152
I'm boiling with rage because of this challenge.,anger,0.9921779036521912
I'm absolutely furious about this moment!,anger,0.9833778142929077
This my finances makes me so angry I could scream!,anger,0.9855244755744934
How dare they my finances!,anger,0.9875571727752686
My blood is boiling because of this conversation!,anger,0.9930222630500793
My blood is boiling because of this food!,anger,0.9885900616645813
How dare they the future!,anger,0.9848299026489258
I'm absolutely furious about the future!,anger,0.983767032623291
this discovery is making me livid!,anger,0.9837204217910767
This this event makes me so angry I could scream!,anger,0.9876940250396729
